id,nome,interesse,marketing_ia
98,Eduardo Ribeiro,Criptomoedas,Erro na geração
99,Samuel Lima,Day Trade,Erro na geração
100,Pedro Ribeiro,Criptomoedas,Erro na geração
101,Carlos Rodrigues,Seguro de Vida,Erro na geração
102,Tatiana Costa,Criptomoedas,Erro na geração
103,Olivia Souza,Previdência Privada,Erro na geração
104,Gabriel Oliveira,Previdência Privada,Erro na geração
105,Samuel Barbosa,Tesouro Direto,Erro na geração
106,Carlos Gomes,Day Trade,Erro na geração
107,Daniela Souza,Ações e Bolsa de Valores,Erro na geração
108,Ana Martins,Fundos Imobiliários (FIIs),Erro na geração
109,Lucas Araujo,Reserva de Emergência,Erro na geração
110,Samuel Martins,Reserva de Emergência,Erro na geração
111,Helena Almeida,Fundos Imobiliários (FIIs),Erro na geração
112,Olivia Rodrigues,Seguro de Vida,Erro na geração
113,Gabriel Ribeiro,Day Trade,Erro na geração
114,Mariana Costa,Reserva de Emergência,Erro na geração
115,Gabriel Oliveira,Cartão de Crédito Black,Erro na geração
116,Olivia Silva,Financiamento de Imóveis,Erro na geração
117,Vitor Almeida,Financiamento de Imóveis,Erro na geração
118,Ana Oliveira,Financiamento de Imóveis,Erro na geração
119,Pedro Costa,Cartão de Crédito Black,Erro na geração
120,Helena Ribeiro,Seguro de Vida,Erro na geração
121,Bruno Barbosa,Cartão de Crédito Black,Erro na geração
122,Yasmin Almeida,Seguro de Vida,Erro na geração
123,Lucas Lima,Financiamento de Imóveis,Erro na geração
124,Gabriel Ferreira,Ações e Bolsa de Valores,Erro na geração
125,Carlos Souza,Tesouro Direto,Erro na geração
126,Samuel Gomes,Day Trade,Erro na geração
127,Lucas Araujo,Cartão de Crédito Black,Erro na geração
128,Fernanda Santos,Reserva de Emergência,Erro na geração
129,Eduardo Almeida,Cartão de Crédito Black,Erro na geração
130,Vitor Barbosa,Seguro de Vida,Erro na geração
131,Julia Silva,Reserva de Emergência,Erro na geração
132,Eduardo Barbosa,Day Trade,Erro na geração
133,Yasmin Gomes,Financiamento de Imóveis,Erro na geração
134,Yasmin Rodrigues,Cartão de Crédito Black,Erro na geração
135,Gabriel Gomes,Criptomoedas,Erro na geração
136,Helena Gomes,Financiamento de Imóveis,Erro na geração
137,Olivia Oliveira,Previdência Privada,Erro na geração
138,Fernanda Santos,Reserva de Emergência,Erro na geração
139,Olivia Ferreira,Tesouro Direto,Erro na geração
140,Fernanda Santos,Day Trade,Erro na geração
141,Yasmin Lima,Cartão de Crédito Black,Erro na geração
142,Pedro Araujo,Reserva de Emergência,Erro na geração
143,Pedro Lima,Tesouro Direto,Erro na geração
144,Helena Souza,Previdência Privada,Erro na geração
145,Julia Araujo,Reserva de Emergência,Erro na geração
146,Tatiana Rodrigues,Day Trade,Erro na geração
147,Tatiana Barbosa,Financiamento de Imóveis,Erro na geração
148,Olivia Souza,Ações e Bolsa de Valores,Erro na geração
149,Samuel Silva,Financiamento de Imóveis,Erro na geração
150,Daniela Gomes,Reserva de Emergência,Erro na geração
151,Fernanda Lima,Criptomoedas,Erro na geração
152,Fernanda Barbosa,Reserva de Emergência,Erro na geração
153,Nicolas Ferreira,Seguro de Vida,Erro na geração
154,Tatiana Santos,Cartão de Crédito Black,Erro na geração
155,Nicolas Costa,Cartão de Crédito Black,Erro na geração
156,Julia Rodrigues,Financiamento de Imóveis,Erro na geração
157,Rafaela Ribeiro,Fundos Imobiliários (FIIs),Erro na geração
158,Eduardo Costa,Reserva de Emergência,Erro na geração
159,Tatiana Ribeiro,Criptomoedas,Erro na geração
160,Samuel Barbosa,Reserva de Emergência,Erro na geração
161,Julia Ferreira,Reserva de Emergência,Erro na geração
162,Ana Costa,Cartão de Crédito Black,Erro na geração
163,Yasmin Gomes,Seguro de Vida,Erro na geração
164,Tatiana Martins,Fundos Imobiliários (FIIs),Erro na geração
165,Fernanda Lima,Tesouro Direto,Erro na geração
166,Ana Ribeiro,Reserva de Emergência,Erro na geração
167,Igor Rodrigues,Cartão de Crédito Black,Erro na geração
168,Fernanda Santos,Criptomoedas,Erro na geração
169,Bruno Ferreira,Fundos Imobiliários (FIIs),Erro na geração
170,Pedro Costa,Day Trade,Erro na geração
171,Eduardo Ribeiro,Ações e Bolsa de Valores,Erro na geração
172,Lucas Santos,Previdência Privada,Erro na geração
173,Igor Almeida,Day Trade,Erro na geração
174,Nicolas Oliveira,Ações e Bolsa de Valores,Erro na geração
175,Fernanda Santos,Seguro de Vida,Erro na geração
176,Yasmin Martins,Day Trade,Erro na geração
177,Helena Araujo,Cartão de Crédito Black,Erro na geração
178,Daniela Barbosa,Ações e Bolsa de Valores,Erro na geração
179,Mariana Costa,Ações e Bolsa de Valores,Erro na geração
180,Helena Costa,Criptomoedas,Erro na geração
181,Bruno Araujo,Seguro de Vida,Erro na geração
182,Samuel Lima,Reserva de Emergência,Erro na geração
183,Rafaela Santos,Day Trade,Erro na geração
184,Yasmin Barbosa,Cartão de Crédito Black,Erro na geração
185,Julia Costa,Reserva de Emergência,Erro na geração
186,Samuel Ferreira,Seguro de Vida,Erro na geração
187,Tatiana Martins,Reserva de Emergência,Erro na geração
188,Julia Martins,Seguro de Vida,Erro na geração
189,Samuel Pereira,Reserva de Emergência,Erro na geração
190,Daniela Araujo,Previdência Privada,Erro na geração
191,Samuel Lima,Fundos Imobiliários (FIIs),Erro na geração
192,Carlos Santos,Financiamento de Imóveis,Erro na geração
193,Bruno Costa,Financiamento de Imóveis,Erro na geração
194,Rafaela Almeida,Previdência Privada,Erro na geração
195,Rafaela Araujo,Tesouro Direto,Erro na geração
196,Nicolas Almeida,Financiamento de Imóveis,Erro na geração
197,Vitor Ribeiro,Seguro de Vida,Erro na geração
198,Igor Martins,Tesouro Direto,Erro na geração
199,Yasmin Barbosa,Tesouro Direto,Erro na geração
200,Daniela Almeida,Previdência Privada,Erro na geração
201,Lucas Almeida,Tesouro Direto,Erro na geração
202,Mariana Barbosa,Financiamento de Imóveis,Erro na geração
203,Yasmin Rodrigues,Reserva de Emergência,Erro na geração
204,Daniela Costa,Previdência Privada,Erro na geração
205,Carlos Souza,Day Trade,Erro na geração
206,Samuel Barbosa,Financiamento de Imóveis,Erro na geração
207,Mariana Almeida,Cartão de Crédito Black,Erro na geração
208,Ana Almeida,Fundos Imobiliários (FIIs),Erro na geração
209,Carlos Martins,Criptomoedas,Erro na geração
210,Daniela Ferreira,Ações e Bolsa de Valores,Erro na geração
211,Yasmin Lima,Previdência Privada,Erro na geração
212,Daniela Gomes,Tesouro Direto,Erro na geração
213,Gabriel Santos,Tesouro Direto,Erro na geração
214,Daniela Santos,Criptomoedas,Erro na geração
215,Igor Lima,Seguro de Vida,Erro na geração
216,Ana Costa,Fundos Imobiliários (FIIs),Erro na geração
217,Pedro Santos,Financiamento de Imóveis,Erro na geração
218,Bruno Barbosa,Criptomoedas,Erro na geração
219,Tatiana Souza,Cartão de Crédito Black,Erro na geração
220,Nicolas Martins,Fundos Imobiliários (FIIs),Erro na geração
221,Samuel Oliveira,Ações e Bolsa de Valores,Erro na geração
222,Mariana Ferreira,Cartão de Crédito Black,Erro na geração
223,Pedro Martins,Day Trade,Erro na geração
224,Rafaela Santos,Fundos Imobiliários (FIIs),Erro na geração
225,Yasmin Oliveira,Seguro de Vida,Erro na geração
226,Rafaela Pereira,Fundos Imobiliários (FIIs),Erro na geração
227,Julia Barbosa,Criptomoedas,Erro na geração
228,Mariana Gomes,Tesouro Direto,Erro na geração
229,Carlos Ferreira,Reserva de Emergência,Erro na geração
230,Julia Rodrigues,Previdência Privada,Erro na geração
231,Yasmin Gomes,Day Trade,Erro na geração
232,Lucas Gomes,Reserva de Emergência,Erro na geração
233,Igor Lima,Financiamento de Imóveis,Erro na geração
234,Eduardo Ferreira,Ações e Bolsa de Valores,Erro na geração
235,Pedro Souza,Ações e Bolsa de Valores,Erro na geração
236,Ana Costa,Fundos Imobiliários (FIIs),Erro na geração
237,Yasmin Ribeiro,Day Trade,Erro na geração
238,Pedro Barbosa,Fundos Imobiliários (FIIs),Erro na geração
239,Samuel Silva,Day Trade,Erro na geração
240,Pedro Silva,Previdência Privada,Erro na geração
241,Ana Ribeiro,Ações e Bolsa de Valores,Erro na geração
242,Nicolas Santos,Seguro de Vida,Erro na geração
243,Bruno Ribeiro,Financiamento de Imóveis,Erro na geração
244,Yasmin Ferreira,Day Trade,Erro na geração
245,Nicolas Rodrigues,Fundos Imobiliários (FIIs),Erro na geração
246,Daniela Ferreira,Ações e Bolsa de Valores,Erro na geração
247,Daniela Oliveira,Seguro de Vida,Erro na geração
248,Daniela Araujo,Cartão de Crédito Black,Erro na geração
249,Rafaela Ribeiro,Previdência Privada,Erro na geração
250,Igor Ferreira,Seguro de Vida,Erro na geração
251,Samuel Souza,Ações e Bolsa de Valores,Erro na geração
252,Fernanda Martins,Reserva de Emergência,Erro na geração
253,Nicolas Oliveira,Cartão de Crédito Black,Erro na geração
254,Rafaela Pereira,Cartão de Crédito Black,Erro na geração
255,Igor Rodrigues,Seguro de Vida,Erro na geração
256,Helena Ribeiro,Previdência Privada,Erro na geração
257,Tatiana Costa,Previdência Privada,Erro na geração
258,Gabriel Souza,Tesouro Direto,Erro na geração
259,Nicolas Silva,Cartão de Crédito Black,Erro na geração
260,Bruno Almeida,Reserva de Emergência,Erro na geração
261,Bruno Barbosa,Criptomoedas,Erro na geração
262,Nicolas Martins,Criptomoedas,Erro na geração
263,Igor Almeida,Financiamento de Imóveis,Erro na geração
264,Helena Pereira,Cartão de Crédito Black,Erro na geração
265,Igor Lima,Fundos Imobiliários (FIIs),Erro na geração
266,Carlos Lima,Fundos Imobiliários (FIIs),Erro na geração
267,Tatiana Almeida,Criptomoedas,Erro na geração
268,Julia Pereira,Fundos Imobiliários (FIIs),Erro na geração
269,Eduardo Gomes,Reserva de Emergência,Erro na geração
270,Olivia Almeida,Cartão de Crédito Black,Erro na geração
271,Carlos Pereira,Criptomoedas,Erro na geração
272,Pedro Ribeiro,Criptomoedas,Erro na geração
273,Igor Pereira,Seguro de Vida,Erro na geração
274,Nicolas Souza,Tesouro Direto,Erro na geração
275,Carlos Almeida,Previdência Privada,Erro na geração
276,Bruno Almeida,Financiamento de Imóveis,Erro na geração
277,Carlos Rodrigues,Previdência Privada,Erro na geração
278,Eduardo Costa,Reserva de Emergência,Erro na geração
279,Samuel Martins,Criptomoedas,Erro na geração
280,Lucas Silva,Cartão de Crédito Black,Erro na geração
281,Julia Silva,Financiamento de Imóveis,Erro na geração
282,Lucas Gomes,Criptomoedas,Erro na geração
283,Pedro Costa,Day Trade,Erro na geração
284,Rafaela Santos,Day Trade,Erro na geração
285,Rafaela Lima,Financiamento de Imóveis,Erro na geração
286,Eduardo Costa,Tesouro Direto,Erro na geração
287,Fernanda Lima,Seguro de Vida,Erro na geração
288,Mariana Martins,Criptomoedas,Erro na geração
289,Gabriel Lima,Reserva de Emergência,Erro na geração
290,Vitor Rodrigues,Criptomoedas,Erro na geração
291,Mariana Pereira,Ações e Bolsa de Valores,Erro na geração
292,Daniela Lima,Tesouro Direto,Erro na geração
293,Julia Rodrigues,Reserva de Emergência,Erro na geração
294,Mariana Gomes,Reserva de Emergência,Erro na geração
295,Bruno Gomes,Previdência Privada,Erro na geração
296,Tatiana Lima,Day Trade,Erro na geração
297,Lucas Silva,Fundos Imobiliários (FIIs),Erro na geração
298,Ana Pereira,Financiamento de Imóveis,Erro na geração
299,Daniela Gomes,Reserva de Emergência,Erro na geração
300,Eduardo Pereira,Criptomoedas,Erro na geração
301,Helena Pereira,Day Trade,Erro na geração
302,Nicolas Lima,Tesouro Direto,Erro na geração
303,Julia Silva,Fundos Imobiliários (FIIs),Erro na geração
304,Olivia Araujo,Fundos Imobiliários (FIIs),Erro na geração
305,Gabriel Oliveira,Tesouro Direto,Erro na geração
306,Samuel Rodrigues,Cartão de Crédito Black,Erro na geração
307,Igor Araujo,Day Trade,Erro na geração
308,Fernanda Araujo,Financiamento de Imóveis,Erro na geração
309,Pedro Lima,Tesouro Direto,Erro na geração
310,Rafaela Souza,Reserva de Emergência,Erro na geração
311,Eduardo Oliveira,Previdência Privada,Erro na geração
312,Carlos Ferreira,Cartão de Crédito Black,Erro na geração
313,Mariana Gomes,Ações e Bolsa de Valores,Erro na geração
314,Ana Araujo,Reserva de Emergência,Erro na geração
315,Daniela Barbosa,Ações e Bolsa de Valores,Erro na geração
316,Lucas Souza,Ações e Bolsa de Valores,Erro na geração
317,Rafaela Araujo,Tesouro Direto,Erro na geração
318,Daniela Ribeiro,Day Trade,Erro na geração
319,Igor Pereira,Financiamento de Imóveis,Erro na geração
320,Carlos Araujo,Seguro de Vida,Erro na geração
321,Samuel Silva,Cartão de Crédito Black,Erro na geração
322,Fernanda Souza,Tesouro Direto,Erro na geração
323,Tatiana Oliveira,Reserva de Emergência,Erro na geração
324,Pedro Gomes,Previdência Privada,Erro na geração
325,Igor Almeida,Fundos Imobiliários (FIIs),Erro na geração
326,Nicolas Oliveira,Financiamento de Imóveis,Erro na geração
327,Bruno Oliveira,Criptomoedas,Erro na geração
328,Helena Santos,Tesouro Direto,Erro na geração
329,Julia Ribeiro,Previdência Privada,Erro na geração
330,Tatiana Almeida,Cartão de Crédito Black,Erro na geração
331,Samuel Silva,Day Trade,Erro na geração
332,Julia Pereira,Reserva de Emergência,Erro na geração
333,Lucas Almeida,Cartão de Crédito Black,Erro na geração
334,Rafaela Oliveira,Cartão de Crédito Black,Erro na geração
335,Lucas Araujo,Fundos Imobiliários (FIIs),Erro na geração
336,Vitor Costa,Cartão de Crédito Black,Erro na geração
337,Ana Ferreira,Reserva de Emergência,Erro na geração
338,Eduardo Martins,Reserva de Emergência,Erro na geração
339,Ana Ferreira,Previdência Privada,Erro na geração
340,Nicolas Costa,Previdência Privada,Erro na geração
341,Olivia Rodrigues,Reserva de Emergência,Erro na geração
342,Lucas Oliveira,Previdência Privada,Erro na geração
343,Samuel Martins,Cartão de Crédito Black,Erro na geração
344,Julia Silva,Reserva de Emergência,Erro na geração
345,Mariana Martins,Financiamento de Imóveis,Erro na geração
346,Julia Oliveira,Cartão de Crédito Black,Erro na geração
347,Yasmin Araujo,Previdência Privada,Erro na geração
348,Eduardo Barbosa,Criptomoedas,Erro na geração
349,Samuel Lima,Seguro de Vida,Erro na geração
350,Rafaela Lima,Reserva de Emergência,Erro na geração
351,Carlos Ferreira,Cartão de Crédito Black,Erro na geração
352,Olivia Lima,Financiamento de Imóveis,Erro na geração
353,Nicolas Araujo,Seguro de Vida,Erro na geração
354,Tatiana Pereira,Fundos Imobiliários (FIIs),Erro na geração
355,Rafaela Oliveira,Fundos Imobiliários (FIIs),Erro na geração
356,Tatiana Araujo,Tesouro Direto,Erro na geração
357,Ana Silva,Tesouro Direto,Erro na geração
358,Tatiana Costa,Criptomoedas,Erro na geração
359,Fernanda Silva,Criptomoedas,Erro na geração
360,Nicolas Araujo,Cartão de Crédito Black,Erro na geração
361,Carlos Souza,Tesouro Direto,Erro na geração
362,Yasmin Ferreira,Ações e Bolsa de Valores,Erro na geração
363,Nicolas Oliveira,Day Trade,Erro na geração
364,Nicolas Ferreira,Cartão de Crédito Black,Erro na geração
365,Daniela Almeida,Tesouro Direto,Erro na geração
366,Daniela Pereira,Seguro de Vida,Erro na geração
367,Fernanda Pereira,Previdência Privada,Erro na geração
368,Samuel Gomes,Financiamento de Imóveis,Erro na geração
369,Tatiana Pereira,Day Trade,Erro na geração
370,Helena Oliveira,Reserva de Emergência,Erro na geração
371,Samuel Santos,Seguro de Vida,Erro na geração
372,Fernanda Silva,Day Trade,Erro na geração
373,Samuel Araujo,Ações e Bolsa de Valores,Erro na geração
374,Ana Pereira,Reserva de Emergência,Erro na geração
375,Gabriel Martins,Tesouro Direto,Erro na geração
376,Bruno Santos,Financiamento de Imóveis,Erro na geração
377,Julia Almeida,Cartão de Crédito Black,Erro na geração
378,Ana Ferreira,Day Trade,Erro na geração
379,Vitor Costa,Ações e Bolsa de Valores,Erro na geração
380,Mariana Barbosa,Criptomoedas,Erro na geração
381,Rafaela Gomes,Day Trade,Erro na geração
382,Fernanda Costa,Cartão de Crédito Black,Erro na geração
383,Ana Oliveira,Day Trade,Erro na geração
384,Fernanda Araujo,Financiamento de Imóveis,Erro na geração
385,Daniela Costa,Previdência Privada,Erro na geração
386,Fernanda Oliveira,Financiamento de Imóveis,Erro na geração
387,Yasmin Almeida,Ações e Bolsa de Valores,Erro na geração
388,Gabriel Santos,Fundos Imobiliários (FIIs),Erro na geração
389,Ana Costa,Ações e Bolsa de Valores,Erro na geração
390,Ana Ferreira,Day Trade,Erro na geração
391,Eduardo Costa,Day Trade,Erro na geração
392,Ana Santos,Ações e Bolsa de Valores,Erro na geração
393,Pedro Oliveira,Tesouro Direto,Erro na geração
394,Yasmin Araujo,Ações e Bolsa de Valores,Erro na geração
395,Samuel Ribeiro,Financiamento de Imóveis,Erro na geração
396,Pedro Costa,Tesouro Direto,Erro na geração
397,Olivia Ribeiro,Tesouro Direto,Erro na geração
398,Lucas Costa,Seguro de Vida,Erro na geração
399,Nicolas Souza,Cartão de Crédito Black,Erro na geração
400,Igor Costa,Day Trade,Erro na geração
401,Ana Ferreira,Tesouro Direto,Erro na geração
402,Helena Almeida,Fundos Imobiliários (FIIs),Erro na geração
403,Ana Oliveira,Seguro de Vida,Erro na geração
404,Carlos Barbosa,Fundos Imobiliários (FIIs),Erro na geração
405,Pedro Oliveira,Previdência Privada,Erro na geração
406,Mariana Lima,Financiamento de Imóveis,Erro na geração
407,Mariana Pereira,Cartão de Crédito Black,Erro na geração
408,Nicolas Araujo,Financiamento de Imóveis,Erro na geração
409,Julia Silva,Financiamento de Imóveis,Erro na geração
410,Tatiana Ferreira,Day Trade,Erro na geração
411,Fernanda Rodrigues,Financiamento de Imóveis,Erro na geração
412,Rafaela Rodrigues,Cartão de Crédito Black,Erro na geração
413,Yasmin Gomes,Seguro de Vida,Erro na geração
414,Ana Rodrigues,Financiamento de Imóveis,Erro na geração
415,Fernanda Ferreira,Day Trade,Erro na geração
416,Julia Silva,Tesouro Direto,Erro na geração
417,Ana Ribeiro,Criptomoedas,Erro na geração
418,Bruno Ribeiro,Previdência Privada,Erro na geração
419,Samuel Silva,Fundos Imobiliários (FIIs),Erro na geração
420,Ana Costa,Ações e Bolsa de Valores,Erro na geração
421,Gabriel Araujo,Day Trade,Erro na geração
422,Igor Lima,Criptomoedas,Erro na geração
423,Daniela Martins,Reserva de Emergência,Erro na geração
424,Julia Rodrigues,Criptomoedas,Erro na geração
425,Mariana Almeida,Day Trade,Erro na geração
426,Yasmin Costa,Day Trade,Erro na geração
427,Bruno Barbosa,Seguro de Vida,Erro na geração
428,Tatiana Ribeiro,Financiamento de Imóveis,Erro na geração
429,Yasmin Lima,Previdência Privada,Erro na geração
430,Daniela Lima,Fundos Imobiliários (FIIs),Erro na geração
431,Samuel Rodrigues,Reserva de Emergência,Erro na geração
432,Carlos Gomes,Seguro de Vida,Erro na geração
433,Gabriel Lima,Seguro de Vida,Erro na geração
434,Yasmin Santos,Tesouro Direto,Erro na geração
435,Julia Pereira,Day Trade,Erro na geração
436,Samuel Pereira,Previdência Privada,Erro na geração
437,Bruno Araujo,Cartão de Crédito Black,Erro na geração
438,Yasmin Gomes,Criptomoedas,Erro na geração
439,Rafaela Rodrigues,Criptomoedas,Erro na geração
440,Tatiana Ferreira,Cartão de Crédito Black,Erro na geração
441,Nicolas Souza,Criptomoedas,Erro na geração
442,Pedro Rodrigues,Criptomoedas,Erro na geração
443,Helena Gomes,Seguro de Vida,Erro na geração
444,Yasmin Pereira,Ações e Bolsa de Valores,Erro na geração
445,Bruno Martins,Previdência Privada,Erro na geração
446,Eduardo Pereira,Reserva de Emergência,Erro na geração
447,Ana Gomes,Ações e Bolsa de Valores,Erro na geração
448,Carlos Barbosa,Fundos Imobiliários (FIIs),Erro na geração
449,Igor Rodrigues,Reserva de Emergência,Erro na geração
450,Tatiana Costa,Criptomoedas,Erro na geração
451,Lucas Costa,Ações e Bolsa de Valores,Erro na geração
452,Rafaela Costa,Previdência Privada,Erro na geração
453,Tatiana Lima,Financiamento de Imóveis,Erro na geração
454,Julia Gomes,Criptomoedas,Erro na geração
455,Ana Souza,Tesouro Direto,Erro na geração
456,Fernanda Araujo,Day Trade,Erro na geração
457,Yasmin Souza,Previdência Privada,Erro na geração
458,Carlos Silva,Financiamento de Imóveis,Erro na geração
459,Carlos Souza,Previdência Privada,Erro na geração
460,Samuel Gomes,Seguro de Vida,Erro na geração
461,Vitor Souza,Seguro de Vida,Erro na geração
462,Samuel Martins,Tesouro Direto,Erro na geração
463,Vitor Martins,Previdência Privada,Erro na geração
464,Igor Oliveira,Ações e Bolsa de Valores,Erro na geração
465,Eduardo Santos,Criptomoedas,Erro na geração
466,Igor Araujo,Day Trade,Erro na geração
467,Tatiana Barbosa,Previdência Privada,Erro na geração
468,Igor Martins,Financiamento de Imóveis,Erro na geração
469,Gabriel Costa,Criptomoedas,Erro na geração
470,Vitor Lima,Reserva de Emergência,Erro na geração
471,Daniela Ribeiro,Seguro de Vida,Erro na geração
472,Julia Souza,Fundos Imobiliários (FIIs),Erro na geração
473,Julia Rodrigues,Seguro de Vida,Erro na geração
474,Ana Oliveira,Cartão de Crédito Black,Erro na geração
475,Samuel Lima,Ações e Bolsa de Valores,Erro na geração
476,Fernanda Barbosa,Day Trade,Erro na geração
477,Samuel Rodrigues,Cartão de Crédito Black,Erro na geração
478,Mariana Barbosa,Ações e Bolsa de Valores,Erro na geração
479,Vitor Gomes,Day Trade,Erro na geração
480,Pedro Araujo,Reserva de Emergência,Erro na geração
481,Mariana Costa,Criptomoedas,Erro na geração
482,Eduardo Rodrigues,Previdência Privada,Erro na geração
483,Helena Pereira,Day Trade,Erro na geração
484,Eduardo Almeida,Previdência Privada,Erro na geração
485,Lucas Oliveira,Fundos Imobiliários (FIIs),Erro na geração
486,Helena Oliveira,Ações e Bolsa de Valores,Erro na geração
487,Nicolas Araujo,Day Trade,Erro na geração
488,Fernanda Silva,Day Trade,Erro na geração
489,Samuel Martins,Criptomoedas,Erro na geração
490,Pedro Gomes,Fundos Imobiliários (FIIs),Erro na geração
